iter	PRAUC	Logloss
0	0.7599741386	0.6877428033
1	0.7962585488	0.6819472431
2	0.8155968145	0.6765306845
3	0.8145568648	0.6719876799
4	0.8200412605	0.6672439943
5	0.8315943825	0.6624063935
6	0.831362855	0.6571755084
7	0.8395180768	0.6521160721
8	0.846601443	0.6474486316
9	0.8598982734	0.6429515672
10	0.8617515044	0.638402992
11	0.8634926088	0.6339457291
12	0.867609277	0.6293901071
13	0.8692907771	0.625291453
14	0.8730296961	0.6214095845
15	0.877315843	0.6175204846
16	0.8795559921	0.6136448784
17	0.8844918766	0.6097079593
18	0.8869115639	0.6063025406
19	0.8869353571	0.6026974241
20	0.8876949385	0.5989980177
21	0.8936098316	0.5963371587
22	0.8959127052	0.5930422527
23	0.8969838984	0.5898438241
24	0.8958669405	0.5865221392
25	0.8981207301	0.5832726764
26	0.8981565033	0.5801046365
27	0.8984829602	0.5772617363
28	0.9006654954	0.5742201304
29	0.9044274892	0.5712460036
30	0.9071951855	0.569120274
31	0.9072761755	0.566356769
32	0.9100091733	0.5634961144
33	0.9084778459	0.5619279977
34	0.91065451	0.5596913908
35	0.9096893927	0.5571920086
36	0.9124018065	0.5546189343
37	0.9150827195	0.5517408924
38	0.9158115517	0.5491817974
39	0.9162301831	0.5470794074
40	0.9149513683	0.5446109449
41	0.9171083248	0.542223668
42	0.9226844405	0.5397388359
43	0.9237423178	0.537309227
44	0.9222954703	0.5352777471
45	0.9219402623	0.5330822421
46	0.9222751689	0.5310207555
47	0.9230760578	0.5289531576
48	0.9249147631	0.5271907286
49	0.9254210847	0.5254217728
50	0.9251418214	0.5237803203
51	0.9264719993	0.5218202677
52	0.9269803802	0.5199753206
53	0.9274491521	0.5186249887
54	0.9274261131	0.5172500887
55	0.9272554969	0.5155239186
56	0.9278429624	0.5138863523
57	0.9293584159	0.5120274421
58	0.9292380522	0.5102429249
59	0.929146554	0.5093270931
60	0.9315755358	0.5077016418
61	0.931590116	0.5060176284
62	0.9301333598	0.5051384921
63	0.9307648965	0.5031013352
64	0.9309716893	0.502002795
65	0.9304695293	0.5005095258
66	0.9321518503	0.4990363112
67	0.9336099847	0.4977806625
68	0.9345483485	0.4963795134
69	0.9346233316	0.4945661024
70	0.9340877314	0.4940139895
71	0.9351501392	0.4924412377
72	0.9375237292	0.4909196771
73	0.93780292	0.4899194667
74	0.9375577344	0.489252047
75	0.9379176468	0.4882916775
76	0.9379894102	0.4869221003
77	0.9385403069	0.4858907096
78	0.9400553336	0.4844509696
79	0.9399949828	0.483705201
80	0.9398347044	0.482411166
81	0.9402802915	0.4813486332
82	0.9393156168	0.4801779479
83	0.9390193358	0.4797845341
84	0.9382568584	0.4786495035
85	0.937798864	0.4783589096
86	0.9386547742	0.4773494908
87	0.9383085489	0.4765110768
88	0.9389671809	0.4753934216
89	0.9394800959	0.4743050619
90	0.9396679638	0.4733125262
91	0.9392368798	0.4723112745
92	0.9400820491	0.4715417148
93	0.9393012017	0.470608312
94	0.9404788909	0.4696365151
95	0.9414064619	0.4683436957
96	0.9422291753	0.4672736063
97	0.9419760851	0.4669915387
98	0.9420453222	0.4662864814
99	0.9421084983	0.4658971865
100	0.9432031796	0.4650295178
101	0.9429590978	0.4641395944
102	0.9432128634	0.4629691004
103	0.9438225851	0.4618725917
104	0.9438579112	0.4611896402
105	0.944868865	0.4602010283
106	0.9443285528	0.4591267885
107	0.9442551593	0.4586830881
108	0.9452673767	0.4575797248
109	0.9456503051	0.4562318924
110	0.9456150514	0.4559663726
111	0.9475413493	0.454980984
112	0.9472363074	0.4545017615
113	0.9474465129	0.4535231393
114	0.9476556344	0.4526513071
115	0.9476575824	0.452013998
116	0.949371998	0.4505772619
117	0.9493263818	0.449739199
118	0.9496021371	0.4488517423
119	0.9506551922	0.447757695
120	0.9505621725	0.4468956773
121	0.9519198428	0.4458735084
122	0.9519081756	0.4457363375
123	0.9522983572	0.4451129881
124	0.9525026478	0.4441700713
125	0.9526763542	0.4432704564
126	0.9527297109	0.4425782314
127	0.9532532357	0.4417984983
128	0.9540521011	0.4407675893
129	0.9545906902	0.4401547926
130	0.9544956483	0.4395979287
131	0.9547779242	0.4389211377
132	0.9548593029	0.4384540192
133	0.9553745806	0.4375809513
134	0.9550880533	0.4368771989
135	0.9555028463	0.43619758
136	0.9558729232	0.4356074494
137	0.9562850857	0.4346441137
138	0.9569459001	0.434010255
139	0.9568327304	0.4332464017
140	0.9574476726	0.4323743613
141	0.9579501187	0.4315932788
142	0.9584773727	0.4305259435
143	0.9596467795	0.429515268
144	0.960276348	0.4288264755
145	0.9606332517	0.4283989653
146	0.9605339224	0.4280496336
147	0.9618547819	0.4269340781
