iter	Passed	Remaining
0	15	46813
1	32	48057
2	48	48476
3	54	40533
4	62	37721
5	81	40465
6	88	37768
7	105	39502
8	121	40495
9	140	41868
10	155	42177
11	171	42637
12	188	43265
13	204	43678
14	220	43954
15	237	44344
16	253	44568
17	269	44692
18	285	44859
19	301	44989
20	316	44964
21	332	45028
22	348	45060
23	363	45104
24	379	45133
25	395	45266
26	412	45388
27	427	45415
28	443	45424
29	459	45525
30	475	45582
31	492	45645
32	514	46254
33	527	45999
34	549	46584
35	575	47405
36	608	48735
37	635	49558
38	667	50692
39	684	50621
40	701	50646
41	718	50625
42	744	51163
43	762	51256
44	779	51188
45	796	51137
46	812	51045
47	828	50941
48	844	50865
49	861	50800
50	876	50691
51	893	50653
52	910	50620
53	928	50637
54	944	50571
55	956	50274
56	972	50191
57	988	50155
58	1004	50067
59	1020	49988
60	1038	50017
61	1054	49983
62	1066	49724
63	1082	49646
64	1098	49594
65	1114	49562
66	1130	49505
67	1147	49495
68	1163	49431
69	1180	49400
70	1185	48914
71	1203	48938
72	1220	48945
73	1237	48912
74	1253	48891
75	1270	48897
76	1288	48927
77	1305	48909
78	1324	48977
79	1374	50180
80	1403	50580
81	1420	50548
82	1442	50703
83	1449	50309
84	1465	50255
85	1470	49814
86	1486	49760
87	1501	49692
88	1518	49662
89	1533	49591
90	1553	49661
91	1570	49648
92	1588	49653
93	1605	49634
94	1623	49635
95	1645	49770
96	1669	49959
97	1676	49634
98	1692	49607
99	1699	49294
100	1715	49242
101	1731	49190
102	1747	49151
103	1763	49106
104	1779	49062
105	1796	49037
106	1812	48998
107	1818	48698
108	1833	48640
109	1848	48575
110	1856	48307
111	1873	48305
112	1888	48244
113	1904	48208
114	1921	48193
115	1936	48149
116	1952	48106
117	1968	48077
118	1983	48017
119	1998	47953
120	2013	47906
121	2028	47859
122	2033	47561
123	2049	47539
124	2065	47496
125	2080	47451
126	2094	47392
127	2109	47341
128	2126	47324
129	2141	47288
130	2156	47235
131	2171	47188
132	2187	47150
133	2202	47117
134	2217	47065
135	2232	47023
136	2250	47040
137	2268	47050
138	2286	47065
139	2307	47140
140	2332	47298
141	2359	47491
142	2384	47634
143	2406	47728
144	2427	47797
145	2447	47845
146	2467	47886
147	2484	47872
